time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1777336352.898782,1.278903,-0.674876,2.134686,-2.434537,0.103630,0.002550,0.012073,-0.171296,1.267415,-0.677885,2.135588,-2.462172,-0.080017,-0.064630,0.012075,-0.281173,0.035727,-0.043649,0.014288,-0.143730
1777336352.932125,1.277201,-0.676591,2.134942,-2.444105,0.102620,0.002739,0.011926,-0.186317,1.264695,-0.680039,2.135995,-2.471745,-0.080446,-0.063713,0.012038,-0.287186,0.033101,-0.045779,0.014258,-0.141727
1777336352.965429,1.277201,-0.676591,2.134942,-2.444105,0.102620,0.002739,0.011926,-0.186317,1.262025,-0.682112,2.136391,-2.481152,-0.080863,-0.062815,0.012001,-0.282206,0.033040,-0.046834,0.014311,-0.144567
1777336352.998815,1.272962,-0.680648,2.135829,-2.454349,0.103324,0.003080,0.012293,-0.189248,1.259331,-0.684165,2.136788,-2.490655,-0.081281,-0.061911,0.011965,-0.285103,0.031331,-0.048594,0.014256,-0.146453
1777336353.032129,1.271245,-0.682272,2.136197,-2.463568,0.102250,0.003217,0.012273,-0.201177,1.256605,-0.686200,2.137186,-2.500277,-0.081702,-0.060998,0.011928,-0.288650,0.030483,-0.049995,0.014208,-0.148285
1777336353.065417,1.266221,-0.686805,2.136520,-2.482588,0.102187,0.003504,0.011697,-0.211730,1.253873,-0.688198,2.137582,-2.509923,-0.082120,-0.060085,0.011892,-0.289389,0.027636,-0.052238,0.014176,-0.145744
1777336353.098788,1.262204,-0.690294,2.137185,-2.492214,0.104865,0.003724,0.012115,-0.226647,1.251124,-0.690170,2.137977,-2.519640,-0.082537,-0.059168,0.011855,-0.291513,0.024010,-0.054758,0.014088,-0.143677
1777336353.132100,1.260030,-0.692160,2.137526,-2.502106,0.104830,0.003848,0.012131,-0.242111,1.248357,-0.692112,2.138371,-2.529421,-0.082955,-0.058247,0.011819,-0.293429,0.021259,-0.056869,0.014014,-0.141981
1777336353.165411,1.255534,-0.695839,2.138429,-2.512340,0.106798,0.004019,0.012678,-0.245981,1.245569,-0.694029,2.138765,-2.539281,-0.083372,-0.057321,0.011782,-0.295778,0.017455,-0.059352,0.013838,-0.140475
1777336353.198787,1.253265,-0.697676,2.138871,-2.521851,0.106058,0.004103,0.012706,-0.251365,1.242779,-0.695907,2.139156,-2.549150,-0.083787,-0.056397,0.011745,-0.296073,0.014544,-0.061419,0.013660,-0.139514
1777336353.232126,1.249209,-0.700791,2.139103,-2.531266,0.107843,0.004187,0.012475,-0.256091,1.239978,-0.697752,2.139545,-2.559057,-0.084200,-0.055471,0.011708,-0.297209,0.011065,-0.063635,0.013523,-0.139000
1777336353.265472,1.246859,-0.702574,2.139872,-2.540611,0.106923,0.004220,0.012884,-0.258594,1.237148,-0.699577,2.139936,-2.569070,-0.084615,-0.054537,0.011671,-0.300392,0.008417,-0.065459,0.013315,-0.138942
1777336353.298759,1.242898,-0.705409,2.140255,-2.549683,0.108623,0.004214,0.012857,-0.263055,1.234319,-0.701360,2.140323,-2.579073,-0.085027,-0.053606,0.011634,-0.300088,0.005354,-0.067350,0.013119,-0.139506
1777336353.332112,1.240566,-0.707058,2.140469,-2.558856,0.107759,0.004200,0.012592,-0.265535,1.231471,-0.703116,2.140709,-2.589140,-0.085438,-0.052671,0.011598,-0.302024,0.003127,-0.068849,0.012969,-0.140434
1777336353.365425,1.236540,-0.709729,2.141173,-2.567902,0.109383,0.004097,0.012962,-0.269053,1.228612,-0.704839,2.141094,-2.599243,-0.085848,-0.051735,0.011561,-0.303072,0.000468,-0.070396,0.012762,-0.141823
1777336353.398781,1.233847,-0.711503,2.141610,-2.577298,0.107960,0.004019,0.012845,-0.266028,1.225738,-0.706531,2.141478,-2.609392,-0.086257,-0.050795,0.011524,-0.304479,-0.001609,-0.071658,0.012555,-0.143424
1777336353.432125,1.229529,-0.714139,2.141810,-2.586473,0.108951,0.003802,0.012472,-0.264227,1.222849,-0.708193,2.141861,-2.619583,-0.086666,-0.049853,0.011487,-0.305746,-0.004220,-0.072976,0.012398,-0.145328
1777336353.465411,1.227289,-0.715476,2.142508,-2.595745,0.107357,0.003662,0.012755,-0.263984,1.219942,-0.709826,2.142244,-2.629833,-0.087074,-0.048907,0.011450,-0.307477,-0.005874,-0.073869,0.012184,-0.147453
1777336353.498755,1.223114,-0.717798,2.142863,-2.605204,0.108247,0.003346,0.012601,-0.264286,1.217031,-0.711422,2.142623,-2.640082,-0.087480,-0.047962,0.011413,-0.307469,-0.007917,-0.074741,0.011989,-0.149712
1777336353.532084,1.221020,-0.718928,2.143023,-2.614708,0.106894,0.003167,0.012279,-0.267885,1.214102,-0.712988,2.143002,-2.650381,-0.087886,-0.047014,0.011376,-0.308975,-0.008950,-0.075179,0.011850,-0.152003
1777336353.565445,1.216968,-0.720971,2.143664,-2.624512,0.107959,0.002766,0.012545,-0.271730,1.211142,-0.714533,2.143382,-2.660775,-0.088293,-0.046058,0.011338,-0.311828,-0.010304,-0.075553,0.011665,-0.154251
1777336353.598799,1.214635,-0.722126,2.144013,-2.634570,0.106608,0.002537,0.012423,-0.274417,1.208193,-0.716033,2.143758,-2.671115,-0.088696,-0.045108,0.011301,-0.310213,-0.010858,-0.075586,0.011498,-0.156430
1777336353.632119,1.210304,-0.724106,2.144201,-2.644859,0.107385,0.002035,0.012057,-0.275310,1.205205,-0.717513,2.144136,-2.681573,-0.089101,-0.044147,0.011264,-0.313724,-0.011897,-0.075582,0.011378,-0.158275
1777336353.665469,1.207991,-0.725127,2.144837,-2.655245,0.105700,0.001761,0.012273,-0.276797,1.202237,-0.718946,2.144508,-2.691940,-0.089500,-0.043195,0.011227,-0.311011,-0.012128,-0.075248,0.011213,-0.160005
1777336353.698787,1.203656,-0.726892,2.145173,-2.665887,0.106174,0.001175,0.012067,-0.277014,1.199241,-0.720353,2.144881,-2.702382,-0.089901,-0.042237,0.011190,-0.313271,-0.012813,-0.074841,0.011064,-0.161282
1777336353.732118,1.203656,-0.726892,2.145173,-2.665887,0.106174,0.001175,0.012067,-0.277014,1.196242,-0.721724,2.145252,-2.712811,-0.090299,-0.041280,0.011152,-0.312865,-0.011463,-0.073905,0.011000,-0.167130
1777336353.765462,1.201014,-0.727876,2.145342,-2.676661,0.104388,0.000777,0.011653,-0.276743,1.193195,-0.723078,2.145625,-2.723380,-0.090701,-0.040310,0.011115,-0.317059,-0.009853,-0.072794,0.010981,-0.171899
1777336353.798800,1.197173,-0.729269,2.145918,-2.687381,0.104700,0.000207,0.011825,-0.280248,1.190186,-0.724378,2.145991,-2.733791,-0.091095,-0.039355,0.011078,-0.312339,-0.008660,-0.071658,0.010920,-0.175976
1777336353.832121,1.195016,-0.730015,2.146224,-2.698477,0.102839,-0.000094,0.011647,-0.283421,1.187131,-0.725660,2.146360,-2.744333,-0.091493,-0.038387,0.011040,-0.316252,-0.006925,-0.070340,0.010874,-0.178940
1777336353.865438,1.190722,-0.731391,2.146386,-2.710142,0.103059,-0.000772,0.011241,-0.284795,1.184064,-0.726909,2.146727,-2.754880,-0.091889,-0.037419,0.011003,-0.316405,-0.005827,-0.069005,0.010872,-0.181036
1777336353.898772,1.188981,-0.731865,2.146898,-2.721620,0.101724,-0.001077,0.011466,-0.298504,1.180980,-0.728127,2.147093,-2.765457,-0.092285,-0.036447,0.010965,-0.317316,-0.003911,-0.067425,0.010839,-0.182370
