time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1777335841.775167,1.423859,0.406643,1.996914,-1.257615,0.126215,0.001751,0.020995,-0.077433,1.440124,0.402827,1.997632,-1.248251,0.042198,-0.126258,0.020010,-0.142411,0.040523,-0.021476,0.021365,-0.067772
1777335841.808529,1.425642,0.401580,1.997436,-1.262248,0.128314,0.001868,0.020907,-0.085812,1.441514,0.398602,1.998298,-1.252936,0.041718,-0.126795,0.019985,-0.140546,0.040467,-0.021410,0.021300,-0.067469
1777335841.841876,1.426810,0.398223,1.997779,-1.267095,0.127180,0.001945,0.020378,-0.090354,1.442891,0.394349,1.998965,-1.257597,0.041236,-0.127328,0.019960,-0.139833,0.040828,-0.021445,0.021305,-0.067090
1777335841.875202,1.428683,0.392749,1.998898,-1.271701,0.129122,0.002068,0.020932,-0.095249,1.444246,0.390098,1.999628,-1.262203,0.040756,-0.127852,0.019935,-0.138170,0.040600,-0.021333,0.021215,-0.066779
1777335841.908496,1.429723,0.389678,1.999491,-1.276312,0.128002,0.002137,0.020784,-0.099241,1.445594,0.385803,2.000294,-1.266803,0.040273,-0.128374,0.019910,-0.138014,0.040955,-0.021359,0.021145,-0.066463
1777335841.941850,1.431530,0.384244,1.999775,-1.280832,0.130003,0.002259,0.020326,-0.103438,1.446931,0.381471,2.000962,-1.271390,0.039787,-0.128893,0.019884,-0.137603,0.040755,-0.021253,0.021156,-0.066226
1777335841.975177,1.432444,0.381472,2.000825,-1.285262,0.129337,0.002320,0.020913,-0.108876,1.448233,0.377187,2.001620,-1.275877,0.039308,-0.129398,0.019859,-0.134616,0.041297,-0.021321,0.021087,-0.066080
1777335842.008510,1.434351,0.375564,2.001472,-1.289857,0.131383,0.002448,0.020815,-0.111006,1.449520,0.372879,2.002278,-1.280340,0.038828,-0.129898,0.019834,-0.133874,0.041029,-0.021201,0.021024,-0.065806
1777335842.041849,1.435327,0.372514,2.001774,-1.294259,0.130421,0.002511,0.020361,-0.113579,1.450797,0.368536,2.002937,-1.284789,0.038345,-0.130395,0.019809,-0.133480,0.041374,-0.021218,0.021036,-0.065567
1777335842.075157,1.437139,0.366734,2.002916,-1.298707,0.132380,0.002633,0.020911,-0.115133,1.452064,0.364158,2.003599,-1.289228,0.037860,-0.130888,0.019783,-0.133159,0.041022,-0.021080,0.020947,-0.065338
1777335842.108477,1.438122,0.363569,2.003509,-1.303107,0.131187,0.002690,0.020756,-0.116379,1.453308,0.359785,2.004257,-1.293612,0.037377,-0.131373,0.019758,-0.131547,0.041280,-0.021076,0.020876,-0.065134
1777335842.141823,1.439785,0.358105,2.003782,-1.307421,0.133223,0.002806,0.020312,-0.118659,1.454528,0.355423,2.004910,-1.297942,0.036896,-0.131849,0.019732,-0.129893,0.041007,-0.020959,0.020888,-0.064922
1777335842.175127,1.440747,0.354912,2.004896,-1.311803,0.132204,0.002860,0.020849,-0.119976,1.455750,0.350985,2.005570,-1.302302,0.036408,-0.132326,0.019707,-0.130782,0.041306,-0.020961,0.020803,-0.064643
1777335842.208506,1.442905,0.347587,2.005667,-1.320355,0.132887,0.002990,0.020392,-0.123420,1.456940,0.346583,2.006223,-1.306581,0.035925,-0.132791,0.019681,-0.128384,0.040272,-0.020692,0.020699,-0.062520
1777335842.241858,1.444776,0.341067,2.006839,-1.324721,0.135873,0.003125,0.021030,-0.124583,1.458126,0.342124,2.006881,-1.310872,0.035438,-0.133255,0.019655,-0.128739,0.038469,-0.020266,0.020494,-0.060592
1777335842.275162,1.445736,0.337691,2.007414,-1.328926,0.135404,0.003187,0.020959,-0.125999,1.459294,0.337656,2.007536,-1.315130,0.034951,-0.133712,0.019629,-0.127723,0.037471,-0.019997,0.020318,-0.058999
1777335842.308489,1.447483,0.331406,2.007758,-1.333054,0.137608,0.003313,0.020486,-0.125086,1.460443,0.333182,2.008190,-1.319351,0.034464,-0.134163,0.019604,-0.126650,0.035843,-0.019610,0.020217,-0.057665
1777335842.341832,1.448397,0.328085,2.008866,-1.336921,0.136515,0.003360,0.020992,-0.124039,1.461571,0.328716,2.008840,-1.323525,0.033979,-0.134605,0.019578,-0.125195,0.035035,-0.019379,0.020028,-0.056650
1777335842.375139,1.449952,0.322334,2.009426,-1.340634,0.138526,0.003478,0.020860,-0.123217,1.462688,0.324210,2.009492,-1.327694,0.033492,-0.135044,0.019552,-0.125091,0.033812,-0.019075,0.019868,-0.055939
1777335842.408476,1.450815,0.319110,2.009719,-1.344266,0.137456,0.003522,0.020382,-0.122051,1.463795,0.319667,2.010147,-1.331859,0.033001,-0.135479,0.019526,-0.124949,0.033405,-0.018926,0.019792,-0.055560
1777335842.441831,1.452405,0.313066,2.010819,-1.347849,0.139258,0.003640,0.020844,-0.119937,1.464868,0.315182,2.010790,-1.335933,0.032518,-0.135901,0.019500,-0.122201,0.032424,-0.018681,0.019628,-0.055476
1777335842.475182,1.453230,0.309901,2.011368,-1.351322,0.137917,0.003676,0.020652,-0.118241,1.465942,0.310609,2.011444,-1.340049,0.032027,-0.136324,0.019474,-0.123478,0.032242,-0.018581,0.019494,-0.055562
1777335842.508506,1.454515,0.304888,2.011575,-1.354641,0.140097,0.003784,0.020283,-0.119862,1.466990,0.306066,2.012090,-1.344100,0.031540,-0.136736,0.019448,-0.121556,0.031923,-0.018466,0.019459,-0.056006
