time,x,y,z,yaw,linx_w,liny_w,linz_w,linx_b,liny_b,linz_b,yaw_rate,xd,yd,zd,yawd,vxd_w,vyd_w,vzd_w,vxd_b,vyd_b,vzd_b,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1777417210.779500,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417210.812829,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417210.846105,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417210.879494,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417210.912850,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417210.946081,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417210.979461,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.012886,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.046179,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.079528,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.112969,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.146193,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.179568,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.212846,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.246131,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.279546,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.312806,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.346234,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.379454,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.412790,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.446101,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.479529,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.512808,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.546158,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.579466,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.612841,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.646198,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.679455,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777417211.712791,-2.849607,1.605836,1.049920,2.352716,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
