time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1777057766.112782,0.750080,0.756446,1.750122,0.873736,-0.016871,0.002356,-0.001447,-0.000437,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.033518,-0.022178,-0.000065,-0.000302
1777057766.145983,0.750436,0.756956,1.750120,0.873711,-0.016051,0.002334,-0.001415,-0.000470,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.030876,-0.021973,-0.000069,-0.000302
1777057766.179345,0.750647,0.757253,1.750116,0.873686,-0.015538,0.002286,-0.001388,-0.000500,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.029133,-0.021696,-0.000066,-0.000299
1777057766.212781,0.751079,0.757777,1.750113,0.873661,-0.014669,0.002208,-0.001357,-0.000524,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.026044,-0.021344,-0.000067,-0.000295
1777057766.246029,0.751320,0.758073,1.750110,0.873636,-0.014138,0.002116,-0.001322,-0.000532,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.024035,-0.021005,-0.000066,-0.000288
1777057766.279340,0.751831,0.758611,1.750107,0.873613,-0.013220,0.001978,-0.001292,-0.000543,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.020526,-0.020471,-0.000064,-0.000286
1777057766.312772,0.752109,0.758903,1.750104,0.873590,-0.012700,0.001863,-0.001260,-0.000546,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.018274,-0.020022,-0.000064,-0.000284
1777057766.345975,0.752109,0.758903,1.750104,0.873590,-0.012700,0.001863,-0.001260,-0.000546,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.017620,-0.019707,-0.000069,-0.000380
1777057766.379326,0.752696,0.759457,1.750108,0.873568,-0.011743,0.001674,-0.001222,-0.000548,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.013794,-0.019020,-0.000081,-0.000371
1777057766.412810,0.752954,0.759695,1.750103,0.873548,-0.011312,0.001553,-0.001199,-0.000552,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.011687,-0.018525,-0.000074,-0.000363
1777057766.445981,0.753491,0.760145,1.750101,0.873525,-0.010503,0.001348,-0.001173,-0.000562,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.008200,-0.017720,-0.000074,-0.000345
1777057766.479317,0.753796,0.760401,1.750102,0.873496,-0.010049,0.001215,-0.001146,-0.000597,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.005846,-0.017120,-0.000080,-0.000301
1777057766.512772,0.754349,0.760821,1.750098,0.873469,-0.009279,0.000990,-0.001126,-0.000627,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,0.002344,-0.016185,-0.000076,-0.000259
1777057766.546000,0.754667,0.761061,1.750096,0.873442,-0.008850,0.000838,-0.001103,-0.000644,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,-0.000045,-0.015496,-0.000075,-0.000223
1777057766.579335,0.755256,0.761457,1.750092,0.873417,-0.008101,0.000559,-0.001074,-0.000636,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,-0.003605,-0.014375,-0.000072,-0.000197
1777057766.612765,0.755583,0.761679,1.750089,0.873398,-0.007711,0.000392,-0.001049,-0.000621,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,-0.005989,-0.013593,-0.000067,-0.000193
1777057766.646085,0.755583,0.761679,1.750089,0.873398,-0.007711,0.000392,-0.001049,-0.000621,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,-0.006836,-0.013263,-0.000070,-0.000274
1777057766.679396,0.756191,0.762055,1.750089,0.873382,-0.007001,0.000095,-0.001017,-0.000594,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,-0.010308,-0.012045,-0.000073,-0.000276
1777057766.712812,0.756467,0.762208,1.750086,0.873368,-0.006735,-0.000067,-0.000987,-0.000563,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,-0.012277,-0.011256,-0.000070,-0.000287
1777057766.746017,0.756979,0.762472,1.750084,0.873355,-0.006196,-0.000342,-0.000963,-0.000540,0.750000,0.750000,1.750000,0.872665,0.000000,0.000000,0.000000,0.000000,-0.015161,-0.010029,-0.000069,-0.000297
1777057766.779332,0.757242,0.762614,1.750085,0.873341,-0.005941,-0.000480,-0.000940,-0.000530,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.113645,0.090974,-0.100063,0.099733
1777057766.812758,0.757679,0.762800,1.750086,0.873325,-0.005524,-0.000732,-0.000919,-0.000526,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.202280,0.181877,-0.163297,0.154138
1777057766.846033,0.757925,0.762903,1.749590,0.875538,-0.005327,-0.000872,-0.001504,0.006235,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.282052,0.263689,-0.219448,0.203136
1777057766.879341,0.757503,0.762967,1.749314,0.885519,-0.005661,-0.000471,-0.001799,0.034402,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.353847,0.337320,-0.270214,0.247426
1777057766.912656,0.757265,0.763003,1.749166,0.900532,-0.005872,-0.000257,-0.001932,0.073921,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.418462,0.403588,-0.316040,0.287580
1777057766.945978,0.754465,0.762813,1.739489,0.919326,-0.008745,0.001389,-0.013756,0.129697,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.476616,0.463229,-0.342505,0.324083
1777057766.979444,0.752803,0.762693,1.734033,0.942225,-0.010412,0.002300,-0.020039,0.182560,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.528954,0.516906,-0.370628,0.357372
1777057767.012859,0.746675,0.762048,1.730969,0.968260,-0.015313,0.007028,-0.023128,0.229372,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.576059,0.565216,-0.398457,0.387813
1777057767.046022,0.743511,0.761735,1.712153,0.996032,-0.019073,0.007946,-0.045490,0.291955,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.618453,0.608694,-0.397341,0.415725
1777057767.079334,0.734837,0.760609,1.702333,1.026437,-0.026210,0.014237,-0.056326,0.358255,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.656608,0.647825,-0.406194,0.441398
1777057767.112722,0.729861,0.759936,1.696970,1.059140,-0.029860,0.017692,-0.061309,0.419589,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.690947,0.683042,-0.419156,0.465084
1777057767.145986,0.718335,0.758132,1.674257,1.093062,-0.039793,0.025356,-0.087661,0.489900,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.708444,0.714738,-0.399711,0.486998
1777057767.179488,0.711637,0.757039,1.661685,1.129108,-0.044847,0.029601,-0.100713,0.552465,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.718213,0.743264,-0.393564,0.507333
1777057767.212733,0.696422,0.754157,1.654576,1.166814,-0.055143,0.041879,-0.106537,0.601061,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.708609,0.768938,-0.394399,0.526215
1777057767.245950,0.687703,0.752443,1.629247,1.205600,-0.061658,0.046462,-0.134111,0.640989,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.694273,0.792044,-0.360012,0.543788
1777057767.279334,0.669907,0.748649,1.616619,1.244892,-0.072852,0.060798,-0.146062,0.687891,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.660886,0.812840,-0.345236,0.560154
1777057767.312709,0.660504,0.746543,1.610406,1.285046,-0.077512,0.067793,-0.150048,0.744436,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.626974,0.831556,-0.340524,0.575454
1777057767.345979,0.640840,0.742145,1.588860,1.326572,-0.088785,0.083523,-0.173338,0.797744,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.574375,0.848400,-0.305246,0.589743
1777057767.379339,0.629808,0.739528,1.577394,1.368898,-0.093451,0.091528,-0.183298,0.849325,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.522693,0.863560,-0.286714,0.603126
1777057767.412869,0.608044,0.734720,1.571376,1.411886,-0.102674,0.111215,-0.187462,0.901871,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.454681,0.877204,-0.277464,0.615620
1777057767.446001,0.595510,0.731765,1.553172,1.455909,-0.106613,0.119972,-0.205593,0.946767,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.388980,0.889484,-0.243381,0.627274
1777057767.479404,0.571599,0.726863,1.543576,1.500242,-0.113918,0.141892,-0.214161,0.993633,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.309809,0.900535,-0.224555,0.638074
1777057767.512750,0.557164,0.723577,1.537938,1.546130,-0.115909,0.153082,-0.215622,1.017947,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.233182,0.910482,-0.212865,0.647960
1777057767.545993,0.530871,0.718944,1.523696,1.591389,-0.119983,0.176981,-0.229740,1.051894,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.147822,0.919434,-0.183404,0.656936
1777057767.579401,0.517076,0.716410,1.516746,1.636804,-0.120115,0.187883,-0.233947,1.102900,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,-0.067889,0.927490,-0.167584,0.664943
1777057767.612853,0.489633,0.712509,1.512826,1.683618,-0.120724,0.214050,-0.235575,1.144277,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.018445,0.934741,-0.157554,0.671720
1777057767.646061,0.473214,0.709802,1.502108,1.731271,-0.118360,0.225998,-0.243222,1.166214,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.102275,0.941267,-0.133613,0.677056
1777057767.679385,0.443033,0.706844,1.496717,1.778361,-0.114185,0.253922,-0.245986,1.192559,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.185085,0.947140,-0.119912,0.680811
1777057767.712787,0.426012,0.704894,1.493867,1.826034,-0.109459,0.266283,-0.243661,1.213176,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.266010,0.952426,-0.111318,0.682464
1777057767.745970,0.391139,0.702591,1.485923,1.874674,-0.099033,0.295756,-0.247380,1.207709,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.339409,0.944079,-0.092401,0.681292
1777057767.779315,0.391139,0.702591,1.485923,1.874674,-0.099033,0.295756,-0.247380,1.207709,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.405468,0.949671,-0.089407,0.691478
1777057767.812609,0.368642,0.701792,1.481942,1.922260,-0.089634,0.310599,-0.244882,1.204067,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.464922,0.941777,-0.078635,0.686339
1777057767.845960,0.335862,0.701047,1.480314,1.969482,-0.075478,0.336340,-0.240341,1.204286,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.518429,0.912245,-0.072728,0.677495
1777057767.879356,0.318739,0.700849,1.476131,2.016331,-0.065688,0.344763,-0.238320,1.215416,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.566587,0.890165,-0.061787,0.664196
1777057767.912673,0.282845,0.701925,1.474129,2.063796,-0.046155,0.371957,-0.234624,1.229861,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.609928,0.841293,-0.055317,0.644667
1777057767.946020,0.263844,0.702484,1.473254,2.110170,-0.034236,0.381456,-0.228957,1.249210,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.648935,0.801075,-0.051331,0.618793
1777057767.979295,0.226358,0.704742,1.470344,2.155357,-0.010311,0.408121,-0.226056,1.268567,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.677814,0.736151,-0.043394,0.585821
1777057768.012678,0.205583,0.705862,1.468865,2.199154,0.004006,0.417778,-0.221080,1.285441,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.710032,0.680508,-0.038459,0.545182
1777057768.046027,0.165015,0.709013,1.467918,2.241428,0.032842,0.443594,-0.214284,1.287755,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.719181,0.600632,-0.034799,0.496690
1777057768.079377,0.138305,0.709834,1.465110,2.282150,0.051612,0.450645,-0.206968,1.246473,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.740029,0.526734,-0.027547,0.440148
1777057768.112660,0.094863,0.715085,1.464407,2.316547,0.085991,0.472180,-0.197536,1.215519,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.720615,0.439768,-0.024698,0.387463
1777057768.146050,0.070211,0.717411,1.463626,2.347357,0.104256,0.475135,-0.188068,1.165773,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.721898,0.366196,-0.021915,0.335919
1777057768.179358,0.070211,0.717411,1.463626,2.347357,0.104256,0.475135,-0.188068,1.165773,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.749708,0.319870,-0.020796,0.364222
1777057768.212830,0.027897,0.725009,1.463396,2.372392,0.140576,0.490054,-0.177303,1.115833,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.701676,0.241904,-0.019468,0.319820
1777057768.246131,0.002987,0.727475,1.462170,2.393313,0.158499,0.491374,-0.169254,1.054769,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.682152,0.171877,-0.016285,0.283841
1777057768.279316,-0.041441,0.735401,1.462086,2.414580,0.196643,0.504602,-0.158930,1.006194,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.610320,0.090475,-0.015569,0.243597
1777057768.312694,-0.067133,0.739425,1.461325,2.434442,0.215008,0.502501,-0.150392,0.951102,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.569550,0.024253,-0.013636,0.205059
1777057768.346045,-0.067133,0.739425,1.461325,2.434442,0.215008,0.502501,-0.150392,0.951102,-0.750000,0.750000,1.450000,2.617994,0.000000,0.000000,0.000000,0.000000,0.577449,-0.015195,-0.013247,0.235483
