time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1777056546.673076,0.152848,0.181546,1.542653,-0.115623,-0.409906,0.124554,0.058723,0.106348,0,0,0,0,0,0,0,0,0.966029,-0.987865,0.007979,-0.059720
1777056546.706438,0.157684,0.196782,1.542441,-0.106623,-0.396261,0.140470,0.058647,0.127570,0,0,0,0,0,0,0,0,0.940750,-0.989078,0.008650,-0.036071
1777056546.739863,0.159964,0.205979,1.542796,-0.096442,-0.383308,0.148550,0.058040,0.146213,0,0,0,0,0,0,0,0,0.906878,-0.990170,0.009387,-0.022605
1777056546.773112,0.165467,0.220389,1.542930,-0.086169,-0.366520,0.162369,0.057914,0.160692,0,0,0,0,0,0,0,0,0.877825,-0.991153,0.008957,-0.017784
1777056546.806445,0.169345,0.227576,1.542775,-0.076889,-0.353139,0.168127,0.056868,0.176716,0,0,0,0,0,0,0,0,0.835794,-0.992038,0.008928,-0.016531
1777056546.839778,0.175839,0.240108,1.543320,-0.068071,-0.334044,0.178738,0.056653,0.181240,0,0,0,0,0,0,0,0,0.795896,-0.992834,0.009471,-0.013691
1777056546.873111,0.179964,0.246809,1.543484,-0.060761,-0.317510,0.182192,0.055076,0.181513,0,0,0,0,0,0,0,0,0.745004,-0.993551,0.008574,-0.011559
1777056546.906449,0.182853,0.249780,1.543349,-0.054584,-0.304239,0.181887,0.053112,0.181622,0,0,0,0,0,0,0,0,0.699478,-0.994196,0.008419,-0.005365
1777056546.939793,0.190252,0.256497,1.543588,-0.049120,-0.287571,0.186448,0.052573,0.181658,0,0,0,0,0,0,0,0,0.656944,-0.994776,0.008877,0.003322
1777056546.973105,0.200178,0.264049,1.543700,-0.043830,-0.268327,0.191901,0.051961,0.180970,0,0,0,0,0,0,0,0,0.597643,-0.995299,0.008565,0.012755
1777056547.006432,0.205905,0.268538,1.543737,-0.038462,-0.253430,0.193176,0.050507,0.179420,0,0,0,0,0,0,0,0,0.527912,-0.995769,0.008490,0.020638
1777056547.039791,0.215375,0.273194,1.544056,-0.033016,-0.234682,0.194717,0.049540,0.178349,0,0,0,0,0,0,0,0,0.472331,-0.996192,0.008564,0.025982
1777056547.073076,0.220912,0.275732,1.544154,-0.027516,-0.220726,0.193615,0.047846,0.177617,0,0,0,0,0,0,0,0,0.402239,-0.996573,0.008058,0.029048
1777056547.106552,0.229995,0.277780,1.544175,-0.022116,-0.202977,0.192018,0.045947,0.176451,0,0,0,0,0,0,0,0,0.345875,-0.996915,0.007992,0.030215
1777056547.139788,0.235236,0.279056,1.544535,-0.016909,-0.189271,0.188920,0.044115,0.173350,0,0,0,0,0,0,0,0,0.276162,-0.997224,0.008090,0.030319
1777056547.173102,0.243994,0.278678,1.544677,-0.012155,-0.172056,0.184180,0.041805,0.169523,0,0,0,0,0,0,0,0,0.220092,-0.997501,0.007506,0.029918
1777056547.206438,0.249039,0.278157,1.544671,-0.007867,-0.160221,0.179731,0.039620,0.166213,0,0,0,0,0,0,0,0,0.151117,-0.997751,0.007359,0.030248
1777056547.239789,0.256786,0.275487,1.545000,-0.003855,-0.145474,0.172858,0.037485,0.162123,0,0,0,0,0,0,0,0,0.095914,-0.997976,0.007521,0.031474
1777056547.273119,0.261309,0.273717,1.545111,-0.000190,-0.135477,0.167579,0.035569,0.159086,0,0,0,0,0,0,0,0,0.031451,-0.998179,0.007014,0.032695
1777056547.306425,0.267942,0.269037,1.545166,0.003479,-0.122848,0.158789,0.032997,0.155195,0,0,0,0,0,0,0,0,-0.020609,-0.998361,0.006942,0.034379
1777056547.339875,0.271903,0.266201,1.545475,0.006987,-0.113670,0.152269,0.031164,0.151437,0,0,0,0,0,0,0,0,-0.079352,-0.998525,0.006996,0.034891
1777056547.373104,0.277555,0.259238,1.545636,0.010499,-0.102368,0.140892,0.028425,0.146953,0,0,0,0,0,0,0,0,-0.127684,-0.998672,0.006537,0.035149
1777056547.406477,0.280928,0.255099,1.545686,0.013812,-0.094125,0.133076,0.026153,0.142691,0,0,0,0,0,0,0,0,-0.180970,-0.987483,0.006381,0.034400
1777056547.439892,0.285380,0.245714,1.546007,0.017083,-0.084407,0.119105,0.023378,0.137544,0,0,0,0,0,0,0,0,-0.225282,-0.982701,0.006454,0.033708
1777056547.473129,0.288016,0.240300,1.546154,0.020104,-0.077092,0.110040,0.021107,0.132364,0,0,0,0,0,0,0,0,-0.272096,-0.955060,0.005991,0.032354
1777056547.506517,0.291088,0.228910,1.546201,0.022901,-0.070079,0.094764,0.018281,0.128033,0,0,0,0,0,0,0,0,-0.311675,-0.938478,0.005875,0.031321
1777056547.539790,0.292807,0.222300,1.546510,0.025661,-0.063783,0.084667,0.016176,0.122194,0,0,0,0,0,0,0,0,-0.350943,-0.896831,0.005975,0.030591
1777056547.573081,0.294413,0.208754,1.546647,0.028084,-0.058526,0.067359,0.013468,0.116900,0.000000,0.000000,1.550000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.384739,-0.869722,0.005546,0.029211
